80 80
0 0 0
0.0126582 0 0
0.0253165 0 0
0.0379747 0 0
0.0506329 0 0
0.0632911 0 0
0.0759494 0 0
0.0886076 0 0
0.101266 0 0
0.113924 0 0
0.126582 0 0
0.139241 0 0
0.151899 0 0
0.164557 0 0
0.177215 0 0
0.189873 0 0
0.202532 0 0
0.21519 0 0
0.227848 0 0
0.240506 0 0
0.253165 0 0
0.265823 0 0
0.278481 0 0
0.291139 0 0
0.303797 0 0
0.316456 0 0
0.329114 0 0
0.341772 0 0
0.35443 0 0
0.367089 0 0
0.379747 0 0
0.392405 0 0
0.405063 0 0
0.417722 0 0
0.43038 0 0
0.443038 0 0
0.455696 0 0
0.468354 0 0
0.481013 0 0
0.493671 0 0
0.506329 0 0
0.518987 0 0
0.531646 0 0
0.544304 0 0
0.556962 0 0
0.56962 0 0
0.582278 0 0
0.594937 0 0
0.607595 0 0
0.620253 0 0
0.632911 0 0
0.64557 0 0
0.658228 0 0
0.670886 0 0
0.683544 0 0
0.696203 0 0
0.708861 0 0
0.721519 0 0
0.734177 0 0
0.746835 0 0
0.759494 0 0
0.772152 0 0
0.78481 0 0
0.797468 0 0
0.810127 0 0
0.822785 0 0
0.835443 0 0
0.848101 0 0
0.860759 0 0
0.873418 0 0
0.886076 0 0
0.898734 0 0
0.911392 0 0
0.924051 0 0
0.936709 0 0
0.949367 0 0
0.962025 0 0
0.974684 0 0
0.987342 0 0
1 0 0
0 0.0126582 0
0.0127393 0.0127393 0
0.0254788 0.01282 0
0.0382187 0.0128999 0
0.0509594 0.0129788 0
0.0637008 0.0130562 0
0.0764434 0.0131318 0
0.0891875 0.0132047 0
0.101933 0.0132749 0
0.11468 0.0133418 0
0.127429 0.013405 0
0.140181 0.0134635 0
0.152934 0.0135168 0
0.16569 0.0135645 0
0.178447 0.0136063 0
0.191207 0.0136399 0
0.203969 0.0136663 0
0.216732 0.0136849 0
0.229497 0.0136935 0
0.242263 0.0136936 0
0.255029 0.0136843 0
0.267794 0.0136647 0
0.28056 0.0136365 0
0.293324 0.0135988 0
0.306086 0.0135524 0
0.318847 0.0134984 0
0.331606 0.0134366 0
0.344363 0.0133679 0
0.357117 0.0132934 0
0.369869 0.0132137 0
0.38262 0.0131287 0
0.395368 0.0130396 0
0.408114 0.0129471 0
0.420859 0.0128515 0
0.433602 0.0127532 0
0.446344 0.0126527 0
0.459085 0.0125506 0
0.471825 0.0124473 0
0.484565 0.012343 0
0.497305 0.0122381 0
0.510044 0.0121331 0
0.522783 0.0120282 0
0.535523 0.0119239 0
0.548263 0.0118205 0
0.561004 0.0117184 0
0.573746 0.0116179 0
0.586489 0.0115197 0
0.599234 0.0114241 0
0.611981 0.0113316 0
0.624729 0.0112425 0
0.637479 0.0111575 0
0.650231 0.0110778 0
0.662986 0.0110032 0
0.675742 0.0109345 0
0.688501 0.0108728 0
0.701262 0.0108187 0
0.714025 0.0107722 0
0.726789 0.0107347 0
0.739554 0.0107064 0
0.75232 0.0106869 0
0.765086 0.0106776 0
0.777851 0.0106776 0
0.790616 0.0106862 0
0.80338 0.0107047 0
0.816141 0.0107311 0
0.828901 0.0107649 0
0.841659 0.0108066 0
0.854414 0.0108543 0
0.867168 0.0109076 0
0.879919 0.0109661 0
0.892668 0.0110293 0
0.905415 0.0110962 0
0.918161 0.0111664 0
0.930905 0.0112394 0
0.943648 0.0113149 0
0.956389 0.0113923 0
0.96913 0.0114712 0
0.98187 0.0115512 0
0.994609 0.0116318 0
1.00735 0.0117129 0
0 0.0253165 0
0.01282 0.0254788 0
0.0256404 0.0256404 0
0.0384618 0.0258005 0
0.0512845 0.0259583 0
0.0641089 0.0261135 0
0.0769355 0.0262647 0
0.0897651 0.0264108 0
0.102598 0.0265513 0
0.115434 0.0266855 0
0.128273 0.0268121 0
0.141117 0.0269293 0
0.153965 0.027036 0
0.166818 0.0271317 0
0.179674 0.0272155 0
0.192536 0.0272829 0
0.205401 0.027336 0
0.218269 0.0273734 0
0.23114 0.0273908 0
0.244013 0.027391 0
0.256886 0.0273727 0
0.269759 0.0273338 0
0.282631 0.0272774 0
0.295501 0.0272024 0
0.308367 0.0271098 0
0.321231 0.0270019 0
0.33409 0.0268786 0
0.346944 0.0267414 0
0.359795 0.0265925 0
0.372641 0.0264333 0
0.385482 0.0262635 0
0.39832 0.0260856 0
0.411154 0.0259007 0
0.423985 0.0257097 0
0.436813 0.0255134 0
0.449639 0.0253127 0
0.462462 0.0251086 0
0.475284 0.0249021 0
0.488105 0.0246938 0
0.500925 0.0244842 0
0.513745 0.0242743 0
0.526565 0.0240648 0
0.539386 0.0238564 0
0.552208 0.0236499 0
0.565032 0.0234458 0
0.577857 0.0232451 0
0.590685 0.0230488 0
0.603516 0.0228579 0
0.616351 0.022673 0
0.629188 0.0224951 0
0.64203 0.0223252 0
0.654876 0.022166 0
0.667727 0.0220171 0
0.680581 0.0218799 0
0.69344 0.0217566 0
0.706303 0.0216487 0
0.71917 0.021556 0
0.73204 0.021481 0
0.744912 0.0214247 0
0.757785 0.0213858 0
0.770658 0.0213675 0
0.783531 0.0213676 0
0.796402 0.021385 0
0.80927 0.0214224 0
0.822135 0.0214754 0
0.834996 0.021543 0
0.847853 0.0216266 0
0.860706 0.0217224 0
0.873554 0.0218291 0
0.886398 0.0219464 0
0.899237 0.022073 0
0.912073 0.022207 0
0.924906 0.0223476 0
0.937736 0.0224937 0
0.950562 0.022645 0
0.963387 0.0228 0
0.976209 0.022958 0
0.989031 0.0231181 0
1.00185 0.0232797 0
1.01467 0.023442 0
0 0.0379747 0
0.0128999 0.0382187 0
0.0258005 0.0384618 0
0.0387025 0.0387025 0
